Date,Open,High,Low,Close,Volume,Ticker
2018-06-18,246.62988831602883,247.0316201898281,244.3177641876231,245.2640380859375,179745400,SPY
2018-06-25,244.10360334595717,244.48746364669375,239.68466023026681,242.1753387451172,485755300,SPY
2018-07-02,240.59515520659198,246.24601805630326,240.354105194808,245.87109375,229161500,SPY
2018-07-09,246.87986330042742,249.8972387488336,246.83523853080328,249.59371948242188,287912600,SPY
2018-07-16,249.63836808900328,251.01312699867626,248.5403208880527,249.67405700683594,288859800,SPY
2018-07-23,249.46875535263575,253.86088975713744,249.12058407095796,251.22740173339844,328645600,SPY
2018-07-30,251.3078309643169,253.22715988324896,249.20994841612932,253.17359924316406,303528100,SPY
2018-08-06,253.2092128741948,255.32493903110725,252.0665136992587,252.78070068359375,237505100,SPY
2018-08-13,253.05745670564258,254.92322435482293,250.10257766986246,254.47686767578125,348086700,SPY
2018-08-20,254.93216584992453,256.8068693920913,254.47687330931896,256.6640319824219,258765100,SPY
2018-08-27,257.8691898751834,260.44020892811164,257.7085079952384,259.16363525390625,292871700,SPY
2018-09-03,258.7440848616443,259.0743845069988,255.9498871689571,256.7444152832031,269481500,SPY
2018-09-10,257.7620049596125,260.02056830363557,256.1908482268869,259.67242431640625,266666300,SPY
2018-09-17,259.6188708442621,262.40413179249117,258.0209065174264,260.663330078125,385095300,SPY
2018-09-24,261.2603594334424,262.0674327218305,259.52963043462097,260.7043762207031,306860200,SPY
2018-10-01,261.950938863495,262.93737426803864,256.66906918994454,258.1038818359375,391529300,SPY
2018-10-08,257.41336453284003,259.036487964881,242.4465299562704,247.45941162109375,834839200,SPY
2018-10-15,247.1007002122835,252.12253106212353,245.9797570478896,247.7284393310547,605604600,SPY
2018-10-22,248.4010365717531,248.72385510777755,235.20978341145334,237.93589782714844,746211300,SPY
2018-10-29,241.04759283594754,246.813744930539,233.02165667470746,243.81858825683594,668290500,SPY
2018-11-05,244.31183925606885,252.18534399551106,243.33437997069936,249.08258056640625,392858000,SPY
2018-11-12,248.57143730311867,248.81355121990273,239.4424810317284,245.4686737060547,584955500,SPY
2018-11-19,244.85887979757453,245.15482419803524,235.90928467863006,236.07069396972656,357454600,SPY
2018-11-26,238.3394209644955,247.75534365100785,237.94484677686143,247.1903839111328,463664000,SPY
2018-12-03,251.34234972790372,251.44995588903237,235.34425275975917,236.3575897216797,646366600,SPY
2018-12-10,236.1782346239685,241.22696697313125,231.918650634666,233.57765197753906,584550800,SPY
2018-12-17,232.61807381466193,233.73901675648932,215.20310591243816,215.84877014160156,1022399200,SPY
2018-12-24,215.61197324220834,226.7605851721075,210.84946074431875,223.46832275390625,705164500,SPY
2018-12-31,225.1009427255482,228.30301453772492,219.78821461113367,227.65357971191406,557994100,SPY
2019-01-07,227.9241694003394,233.76005384372922,227.02217815732143,233.5977020263672,471340300,SPY
2019-01-14,231.68543800498134,240.81361173980105,231.27955849567405,240.3445587158203,457771900,SPY
2019-01-21,238.86531259912695,240.5610604338859,235.1130259603508,239.73121643066406,357649000,SPY
2019-01-28,237.57541055714344,244.61995770487718,236.13221952560784,243.5916748046875,434018300,SPY
2019-02-04,243.63687767710624,246.64052437800464,241.58033843820138,243.96160888671875,369916300,SPY
2019-02-11,244.61997258997243,250.2213290470124,243.5646309980119,250.18524169921875,385891900,SPY
2019-02-18,249.3825451183755,251.98025673780012,249.26528185425042,251.78184509277344,278060900,SPY
2019-02-25,253.21606228277187,253.7392051968123,250.2845901557712,252.9364471435547,330945200,SPY
2019-03-04,254.00077855208946,254.24430631553687,245.72050427576795,247.560546875,421329900,SPY
2019-03-11,248.2820852025836,254.70425759091097,248.25502656997037,253.73912048339844,374233000,SPY
2019-03-18,255.07421568499657,258.3628702350261,252.92708490217305,252.99050903320312,439286800,SPY
2019-03-25,252.64618821639118,256.2428665725678,251.53187013824976,255.91673278808594,364351100,SPY
2019-04-01,257.92803529425925,261.4884681924776,257.65622942817663,261.4341125488281,293550700,SPY
2019-04-08,261.0083190347838,263.155449991232,259.73997455078876,262.8746032714844,297131000,SPY
2019-04-15,262.94711602148743,264.02521594070816,261.51570433974626,262.747802734375,228726700,SPY
2019-04-22,261.97766013775015,265.89140417447715,261.8870581950108,265.8189392089844,251486900,SPY
2019-04-29,265.9096457241436,267.21423679871043,262.2948286164373,266.3807373046875,331555200,SPY
2019-05-06,262.05018475792656,265.7283977582592,255.75372154989756,261.0083312988281,559396700,SPY
2019-05-13,255.86237290216812,262.0138487446346,253.60650367237153,258.96075439453125,455352700,SPY
2019-05-20,257.3482318987272,259.94834516815655,254.18642515409755,256.1885986328125,313209100,SPY
2019-05-27,256.46938121096616,257.42970097307176,249.3575572895446,249.38473510742188,324388900,SPY
2019-06-03,249.42099148467284,261.6877539921499,247.40974993705302,260.6005859375,388532200,SPY
2019-06-10,262.1588774182719,263.9979837876984,260.75464385337807,262.0592346191406,267806600,SPY
2019-06-17,262.29475538113604,268.44626027858203,261.986730858956,266.3534851074219,403194400,SPY
2019-06-24,267.8583216223478,268.1769290707986,264.3260796450161,266.7385559082031,280902400,SPY
2019-07-01,270.08867879106043,272.0368847478458,267.9493028327258,271.7091369628906,232786300,SPY
2019-07-08,270.3892070357551,273.7757871076917,268.99634099387924,273.70294189453125,236543700,SPY
